nome,eleito
VANDER LUIZ DOS SANTOS LOUBET,1
CARLOS GOMES BEZERRA,1
EZEQUIEL ANGELO FONSECA,1
VALTENIR LUIZ PEREIRA,1
ADILTON DOMINGOS SACHETTI,1
FABIO PAULINO GARCIA,1
VICTÓRIO GALLI FILHO,1
NILSON APARECIDO LEITÃO,1
SÁGUAS MORAES SOUSA,1
HELIO LEITE DA SILVA,1
ELCIONE THEREZINHA ZAHLUTH BARBALHO,1
SIMONE MARIA MORGADO FERREIRA,1
JOSÉ BENITO PRIANTE JUNIOR,1
ARNALDO JORDY FIGUEIREDO,1
LUCIO DUTRA VALE,1
ROBERTO SALAME FILHO,1
JULIA MARIA GODINHO DA CRUZ MARINHO,1
ÉDER MAURO CARDOSO BARRA,1
FRANCISCO ALVES DE AGUIAR,1
JOAQUIM PASSARINHO PINTO DE SOUZA PORTO,1
NILSON PINTO DE OLIVEIRA,1
EDMILSON BRITO RODRIGUES,1
JOSE GERALDO TORRES DA SILVA,1
JOSE ROBERTO OLIVEIRA FARO,1
JOSUÉ BENGTSON,1
WLADIMIR AFONSO DA COSTA RABELO,1
EFRAIM DE ARAÚJO MORAIS FILHO,1
DAMIÃO FELICIANO DA SILVA,1
HUGO MOTTA WANDERLEY DA NOBREGA,1
MANOEL ALVES DA SILVA JUNIOR,1
VENEZIANO VITAL DO RÊGO SEGUNDO NETO,1
AGUINALDO VELLOSO BORGES RIBEIRO,1
JOSÉ WELLINGTON ROBERTO,1
RÔMULO JOSÉ DE GOUVEIA,1
PEDRO OLIVEIRA CUNHA LIMA,1
LUIZ ALBUQUERQUE COUTO,1
JOSE WILSON SANTIAGO FILHO,1
BENJAMIN GOMES MARANHÃO NETO,1
JOSÉ MENDONÇA BEZERRA FILHO,1
LUCIANA BARBOSA DE OLIVEIRA SANTOS,1
WOLNEY QUEIROZ MACIEL,1
KAIO CÉSAR DE MOURA MANIÇOBA NOVAES FERRAZ,1
JARBAS DE ANDRADE VASCONCELOS,1
EDUARDO HENRIQUE DA FONTE DE ALBUQUERQUE SILVA,1
ANDERSON FERREIRA RODRIGUES,1
